state,hits,keyword,geo,gprop
New Jersey,47,WHOOP,US,web
Minnesota,46,WHOOP,US,web
New York,46,WHOOP,US,web
Montana,46,WHOOP,US,web
Florida,46,WHOOP,US,web
Rhode Island,45,WHOOP,US,web
Hawaii,45,WHOOP,US,web
Kansas,45,WHOOP,US,web
Texas,45,WHOOP,US,web
Georgia,45,WHOOP,US,web
Alabama,45,WHOOP,US,web
Washington,44,WHOOP,US,web
Iowa,44,WHOOP,US,web
Ohio,44,WHOOP,US,web
Indiana,44,WHOOP,US,web
Arizona,43,WHOOP,US,web
Oregon,43,WHOOP,US,web
Illinois,43,WHOOP,US,web
Maryland,42,WHOOP,US,web
Nevada,41,WHOOP,US,web
Oklahoma,41,WHOOP,US,web
Missouri,40,WHOOP,US,web
Wisconsin,40,WHOOP,US,web
South Carolina,40,WHOOP,US,web
North Dakota,36,WHOOP,US,web
Louisiana,36,WHOOP,US,web
Delaware,35,WHOOP,US,web
West Virginia,34,WHOOP,US,web
New Mexico,33,WHOOP,US,web
Wyoming,28,WHOOP,US,web
Maryland,100,health related fitness,US,web
South Carolina,65,health related fitness,US,web
Hawaii,56,health related fitness,US,web
Florida,52,health related fitness,US,web
Kansas,44,health related fitness,US,web
Georgia,41,health related fitness,US,web
Louisiana,40,health related fitness,US,web
Wisconsin,39,health related fitness,US,web
Arizona,38,health related fitness,US,web
Missouri,38,health related fitness,US,web
Nevada,34,health related fitness,US,web
California,34,health related fitness,US,web
Alabama,32,health related fitness,US,web
Pennsylvania,32,health related fitness,US,web
Iowa,30,health related fitness,US,web
Illinois,29,health related fitness,US,web
Tennessee,29,health related fitness,US,web
Kentucky,29,health related fitness,US,web
Indiana,27,health related fitness,US,web
North Carolina,27,health related fitness,US,web
Colorado,26,health related fitness,US,web
Texas,26,health related fitness,US,web
New Jersey,25,health related fitness,US,web
Connecticut,23,health related fitness,US,web
Arkansas,23,health related fitness,US,web
Ohio,23,health related fitness,US,web
New York,22,health related fitness,US,web
New Mexico,22,health related fitness,US,web
New Hampshire,20,health related fitness,US,web
Washington,19,health related fitness,US,web
Michigan,18,health related fitness,US,web
Virginia,18,health related fitness,US,web
Massachusetts,17,health related fitness,US,web
Oklahoma,13,health related fitness,US,web
Utah,13,health related fitness,US,web
Minnesota,10,health related fitness,US,web
Oregon,6,health related fitness,US,web
Delaware,0,health related fitness,US,web
Maine,0,health related fitness,US,web
North Dakota,0,health related fitness,US,web
District of Columbia,0,health related fitness,US,web
Wyoming,0,health related fitness,US,web
West Virginia,0,health related fitness,US,web
Mississippi,0,health related fitness,US,web
Nebraska,0,health related fitness,US,web
Rhode Island,0,health related fitness,US,web
Alaska,0,health related fitness,US,web
Idaho,0,health related fitness,US,web
Montana,0,health related fitness,US,web
South Dakota,0,health related fitness,US,web
Vermont,0,health related fitness,US,web
Connecticut,100,improve sleep,US,web
Kansas,97,improve sleep,US,web
Nevada,97,improve sleep,US,web
Minnesota,79,improve sleep,US,web
Colorado,76,improve sleep,US,web
Florida,73,improve sleep,US,web
Oregon,72,improve sleep,US,web
Louisiana,72,improve sleep,US,web
Michigan,64,improve sleep,US,web
Iowa,62,improve sleep,US,web
Georgia,61,improve sleep,US,web
South Carolina,59,improve sleep,US,web
Pennsylvania,59,improve sleep,US,web
Tennessee,57,improve sleep,US,web
Washington,56,improve sleep,US,web
Virginia,56,improve sleep,US,web
Illinois,53,improve sleep,US,web
North Dakota,53,improve sleep,US,web
North Carolina,51,improve sleep,US,web
Indiana,51,improve sleep,US,web
California,49,improve sleep,US,web
Wisconsin,48,improve sleep,US,web
Alabama,48,improve sleep,US,web
Maryland,44,improve sleep,US,web
New York,44,improve sleep,US,web
Texas,43,improve sleep,US,web
New Jersey,39,improve sleep,US,web
Massachusetts,39,improve sleep,US,web
Ohio,34,improve sleep,US,web
Oklahoma,32,improve sleep,US,web
Utah,32,improve sleep,US,web
Missouri,30,improve sleep,US,web
Arizona,24,improve sleep,US,web
New Mexico,18,improve sleep,US,web
Arkansas,14,improve sleep,US,web
Kentucky,9,improve sleep,US,web
District of Columbia,0,improve sleep,US,web
Montana,0,improve sleep,US,web
Delaware,0,improve sleep,US,web
Alaska,0,improve sleep,US,web
Rhode Island,0,improve sleep,US,web
West Virginia,0,improve sleep,US,web
South Dakota,0,improve sleep,US,web
New Hampshire,0,improve sleep,US,web
Mississippi,0,improve sleep,US,web
Idaho,0,improve sleep,US,web
Hawaii,0,improve sleep,US,web
Maine,0,improve sleep,US,web
Nebraska,0,improve sleep,US,web
Vermont,0,improve sleep,US,web
Wyoming,0,improve sleep,US,web
Alabama,100,improve focus,US,web
Mississippi,91,improve focus,US,web
Kentucky,89,improve focus,US,web
Oklahoma,71,improve focus,US,web
Arkansas,71,improve focus,US,web
Iowa,71,improve focus,US,web
Florida,68,improve focus,US,web
North Carolina,64,improve focus,US,web
Nevada,62,improve focus,US,web
New Mexico,59,improve focus,US,web
Ohio,56,improve focus,US,web
Indiana,56,improve focus,US,web
South Carolina,54,improve focus,US,web
